,movie name,release year,rank moving,movie rate
0,Gisaengchung,(2019),no change,8.6
1,The Invisible Man,(2020),up,7.6
2,Knives Out,(2019),up,8.0
3,Sonic the Hedgehog,(2020),down,6.8
4,Candyman,(2020),up,
5,The Last Thing He Wanted,(2020),up,4.3
6,Jojo Rabbit,(2019),down,8.0
7,Birds of Prey: And the Fantabulous Emancipation of One Harley Quinn,(2020),down,6.6
8,The Call of the Wild,(2020),up,6.9
9,1917,(2019),down,8.4
10,The Gentlemen,(2019),up,8.1
11,Uncut Gems,(2019),down,7.6
12,Once Upon a Time... in Hollywood,(2019),down,7.7
13,Joker,(2019),down,8.6
14,Emma.,(2020),no change,6.9
15,Run,(2020),up,
16,A Quiet Place Part II,(2020),up,
17,No Time to Die,(2020),down,
18,Ford v Ferrari,(2019),down,8.1
19,Candyman,(1992),up,6.6
20,Jumanji: The Next Level,(2019),down,6.8
21,Fantasy Island,(2020),down,4.6
22,Midway,(2019),down,6.7
23,Bombshell,(2019),up,6.8
24,Midsommar,(2019),no change,7.1
25,The Batman,(2021),down,
26,Frozen II,(2019),no change,7.0
27,Guns Akimbo,(2019),up,6.5
28,Little Women,(2019),down,8.0
29,Doctor Sleep,(2019),down,7.4
30,Girl on the Third Floor,(2019),up,4.7
31,Dark Waters,(2019),up,7.6
32,Charlie's Angels,(2019),down,4.4
33,The Lighthouse,(2019),down,7.7
34,The Hunt,(2020),up,
35,The Irishman,(2019),down,7.9
36,Onward,(2020),up,7.6
37,Bad Boys for Life,(2020),down,7.2
38,Portrait de la jeune fille en feu,(2019),up,8.2
39,Brahms: The Boy II,(2020),up,4.3
40,Rumble,(2021),up,
41,Color Out of Space,(2019),up,6.2
42,A Beautiful Day in the Neighborhood,(2019),down,7.4
43,Dolittle,(2020),down,5.5
44,A Quiet Place,(2018),up,7.5
45,The Night Clerk,(2020),up,5.2
46,Terminator: Dark Fate,(2019),down,6.3
47,Avengers: Endgame,(2019),down,8.5
48,Marriage Story,(2019),down,8.0
49,Star Wars: Episode IX - The Rise of Skywalker,(2019),down,6.8
50,All the Bright Places,(2020),up,6.5
51,Mulan,(2020),up,
52,Contagion,(2011),up,6.6
53,After We Collided,(2020),down,
54,Toy Story 4,(2019),down,7.8
55,Bloodshot,(2020),up,5.8
56,The Lion King,(2019),down,6.9
57,Snowpiercer,(2013),down,7.1
58,To All the Boys: P.S. I Still Love You,(2020),down,6.1
59,Rocketman,(2019),up,7.3
60,21 Bridges,(2019),down,6.6
61,Spies in Disguise,(2019),up,6.8
62,Impractical Jokers: The Movie,(2020),up,6.9
63,Horse Girl,(2020),down,5.9
64,Hustlers,(2019),down,6.3
65,The Matrix 4,(2021),up,
66,The Way Back,(2020),up,7.5
67,6 Underground,(2019),down,6.1
68,Alita: Battle Angel,(2019),down,7.3
69,The Shawshank Redemption,(1994),up,9.3
70,Shubh Mangal Zyada Saavdhan,(2020),up,6.7
71,The Lodge,(2019),up,6.6
72,Blade Runner 2049,(2017),down,8.0
73,After,(2019),up,5.4
74,Queen & Slim,(2019),down,7.0
75,Tenet,(2020),down,
76,Titanic,(1997),up,7.8
77,The Godfather,(1972),down,9.2
78,The Dark Knight,(2008),down,9.0
79,Downhill,(2020),down,4.9
80,Pokémon: Mewtwo Strikes Back - Evolution,(2019),up,5.8
81,F9,(2020),down,
82,Black Widow,(2020),down,
83,Superman: Red Son,(2020),up,6.3
84,Zombieland: Double Tap,(2019),down,6.8
85,Hidden Figures,(2016),up,7.8
86,The Body,(2019),up,5.5
87,Miracle,(2004),up,7.5
88,Ad Astra,(2019),down,6.6
89,Casino Royale,(2006),up,8.0
90,Mr. Right,(2015),up,6.3
91,Honey Boy,(2019),down,7.4
92,Suicide Squad,(2016),down,6.0
93,Gretel & Hansel,(2020),down,5.4
94,Maleficent: Mistress of Evil,(2019),down,6.7
95,Jumanji: Welcome to the Jungle,(2017),up,6.9
96,Fighting with My Family,(2019),down,7.1
97,It,(2017),up,7.3
98,The French Dispatch,(2020),down,
99,Bhoot: Part One - The Haunted Ship,(2020),up,6.3
